task_id,project_id,batch_id,process_id,user_id,rework_times,task_type,audio_total_num,audio_valid_num,audio_total_len,audio_valid_len,audio_unvalid_len,worker_task_id,add_time,work_time_len,update_time
10292,3,49,11,40046,0,trans,3,3,546820,241398,305422,0,2018-10-20 13:27:35,4592,2018-10-24 18:44:41
10298,3,49,11,40046,0,trans,3,3,550779,302744,248035,0,2018-10-20 14:47:51,1670,2018-10-25 16:16:18
10301,3,49,11,40046,0,trans,3,3,568970,208601,360369,0,2018-10-20 15:21:58,1265,2018-10-25 16:16:18
10315,3,49,11,40046,0,trans,3,3,575970,200852,375118,0,2018-10-20 17:23:43,1309,2018-10-25 16:16:18
10320,3,49,11,40046,0,trans,3,3,566540,381023,185517,0,2018-10-20 17:53:19,2130,2018-10-25 18:56:48
10517,3,49,11,40046,0,trans,3,3,551230,340324,210906,0,2018-10-21 15:06:34,3174,2018-10-26 11:23:28
10527,3,49,11,40046,0,trans,3,3,560240,419294,140946,0,2018-10-21 16:05:48,82650,2018-10-26 11:23:28
10675,3,49,11,40046,0,trans,3,3,594860,339630,255230,0,2018-10-22 15:06:00,2132,2018-10-26 13:34:44
10677,3,49,11,40046,0,trans,3,3,582960,279980,302980,0,2018-10-22 15:43:06,1448,2018-10-26 13:34:44
10679,3,49,11,40046,0,trans,3,3,579150,336239,242911,0,2018-10-22 16:08:08,1778,2018-10-26 13:34:44
11057,3,49,11,40046,0,trans,3,3,569100,207713,361387,0,2018-10-24 13:10:47,1293,2018-10-27 11:06:05
11061,3,49,11,40046,0,trans,3,3,572810,307992,264818,0,2018-10-24 13:33:15,1947,2018-10-27 11:06:05
11065,3,49,11,40046,0,trans,3,3,543640,202576,341064,0,2018-10-24 14:06:33,1303,2018-10-27 11:06:05
11076,3,49,11,40046,0,trans,3,3,545740,244610,301130,0,2018-10-24 14:29:31,1185,2018-10-30 12:51:08
11081,3,49,11,40046,0,trans,3,3,551050,372472,178578,0,2018-10-24 14:49:59,2225,2018-10-30 12:51:08
11087,3,49,11,40046,0,trans,3,3,588079,364148,223931,0,2018-10-24 15:29:47,1964,2018-10-30 12:51:08
11091,3,49,11,40046,1,trans,3,3,568790,247205,321585,12370,2018-10-24 16:05:54,189428,2018-11-02 17:46:37
11106,3,49,11,40046,2,trans,3,3,548430,180664,367766,0,2018-10-24 16:53:37,2671,2018-11-02 17:46:37
11118,3,49,11,40046,1,trans,3,3,599710,205067,394643,0,2018-10-24 17:38:22,1159,2018-11-02 17:46:37
11127,3,49,11,40046,0,trans,3,3,587260,188637,398623,0,2018-10-24 17:58:51,987,2018-10-31 10:05:13
11132,3,49,11,40046,0,trans,3,3,553810,181163,372647,0,2018-10-24 18:15:51,979,2018-10-31 13:50:06
11541,3,49,11,40046,0,trans,3,3,555920,367078,188842,0,2018-10-25 21:21:52,1851,2018-11-01 18:16:32
11552,3,49,11,40046,0,trans,3,3,594940,308536,286404,0,2018-10-25 21:56:45,1719,2018-11-02 17:46:37
11560,3,49,11,40046,0,trans,3,3,559840,360028,199812,0,2018-10-25 22:25:41,1927,2018-11-01 18:16:32
11618,3,49,11,40046,0,trans,3,3,595230,303056,292174,0,2018-10-26 10:47:07,2475,2018-11-02 17:46:37
11628,3,49,11,40046,0,trans,3,3,599090,297039,302051,0,2018-10-26 11:31:57,1271,2018-11-02 17:46:37
11631,3,49,11,40046,0,trans,3,3,552230,267362,284868,0,2018-10-26 11:54:03,2431,2018-11-02 17:46:37
11633,3,49,11,40046,0,trans,3,3,583680,356076,227604,0,2018-10-26 12:35:19,1085,2018-11-02 17:46:37
11636,3,49,11,40046,0,trans,3,3,565370,421612,143758,0,2018-10-26 12:59:09,2217,2018-11-02 17:46:37
11911,3,49,11,40046,0,trans,3,3,560890,259538,301352,0,2018-10-27 17:30:08,1098,2018-11-06 17:44:19
11913,3,49,11,40046,0,trans,1,1,8251,818,7433,0,2018-10-27 17:55:05,17,2018-11-06 17:44:19
11914,3,49,11,40046,0,trans,3,3,573949,138913,435036,0,2018-10-27 17:55:41,59997,2018-11-06 17:44:19
12042,3,49,11,40046,0,trans,3,3,584520,192896,391624,0,2018-10-28 10:35:46,1032,2018-11-06 17:56:09
12044,3,49,11,40046,0,trans,3,3,563570,175350,388220,0,2018-10-28 11:00:04,4385,2018-11-06 17:56:09
12218,3,49,11,40046,0,trans,3,3,424514,60010,364504,0,2018-10-29 11:32:15,244,2018-11-06 18:37:05
12219,3,49,11,40046,0,trans,3,3,545669,208691,336978,0,2018-10-29 11:36:45,170777,2018-11-06 18:37:05
13075,3,49,11,40046,1,trans,3,3,567600,299154,268446,14920,2018-11-01 23:16:14,11723,2018-11-15 11:12:51
13078,3,49,11,40046,0,trans,3,3,571959,273251,298708,0,2018-11-01 23:42:53,125107,2018-11-06 18:40:36
13483,3,49,11,40046,0,trans,3,3,571000,186407,384593,0,2018-11-03 10:28:08,1172,2018-11-13 11:04:22
13484,3,49,11,40046,0,trans,3,3,563640,276614,287026,0,2018-11-03 10:48:17,1636,2018-11-13 11:04:22
13486,3,49,11,40046,0,trans,3,3,576890,279857,297033,0,2018-11-03 11:17:12,1957,2018-11-06 18:40:36
13489,3,49,11,40046,0,trans,3,3,554150,163786,390364,0,2018-11-03 11:49:59,1014,2018-11-15 11:12:51
13564,3,49,11,40046,0,trans,3,3,560770,318870,241900,0,2018-11-04 09:58:48,120948,2018-11-06 18:40:36
13858,3,49,11,40046,0,trans,3,3,563280,215383,347897,0,2018-11-05 19:35:05,349605,2018-11-15 11:12:51
15014,3,49,11,40046,0,trans,3,3,563090,316534,246556,0,2018-11-09 21:06:06,1848,2018-11-16 12:05:50
15082,3,49,11,40046,0,trans,3,3,566590,56206,510384,0,2018-11-09 22:08:49,465,2018-11-16 12:05:50
15087,3,49,11,40046,0,trans,3,3,583130,285525,297605,0,2018-11-09 22:16:43,166375,2018-11-16 12:05:50
15574,3,49,11,40046,0,trans,3,3,559240,215272,343968,0,2018-11-11 20:30:46,10394,2018-11-16 12:05:50
15649,3,49,11,40046,0,trans,3,3,572500,187804,384696,0,2018-11-11 23:24:14,1059,2018-11-16 12:05:50
15657,3,49,11,40046,1,trans,3,3,550690,381815,168875,17934,2018-11-11 23:42:51,48443,2018-11-20 15:32:42
15665,3,49,11,40046,0,trans,3,3,560970,257282,303688,0,2018-11-12 01:00:28,1261,2018-11-16 12:05:50
15774,3,49,11,40046,0,trans,3,3,558410,152669,405741,0,2018-11-12 14:40:28,12636,2018-11-16 19:53:46
15848,3,49,11,40046,0,trans,3,3,612910,266886,346024,0,2018-11-12 18:11:16,1593,2018-11-20 15:32:42
15858,3,49,11,40046,0,trans,3,3,550570,125817,424753,0,2018-11-12 18:41:28,75400,2018-11-20 15:32:42
16151,3,49,11,40046,0,trans,2,2,258521,53266,205255,0,2018-11-13 15:38:21,404,2018-11-20 15:32:42
16158,3,63,11,40046,0,trans,3,3,589950,299359,290591,0,2018-11-13 16:32:39,14663,2018-11-20 17:05:51
16247,3,63,11,40046,0,trans,3,3,577800,289679,288121,0,2018-11-13 20:37:16,1594,2018-11-20 18:57:43
16267,3,63,11,40046,0,trans,3,3,569910,251277,318633,0,2018-11-13 21:04:52,2489,2018-11-20 17:38:36
16334,3,63,11,40046,0,trans,3,3,552240,288136,264104,0,2018-11-13 21:48:33,1660,2018-11-20 18:57:43
16386,3,63,11,40046,0,trans,3,3,595690,296730,298960,0,2018-11-13 22:17:25,2609,2018-11-20 18:57:43
16412,3,63,11,40046,0,trans,3,3,563590,192224,371366,0,2018-11-13 23:01:46,1112,2018-11-20 18:57:43
16414,3,63,11,40046,0,trans,3,3,623380,337978,285402,0,2018-11-13 23:20:44,2099,2018-11-20 18:57:43
16640,3,63,11,40046,0,trans,3,3,568170,299807,268363,0,2018-11-14 15:31:59,2326,2018-11-20 21:07:37
16675,3,63,11,40046,0,trans,3,3,588510,305542,282968,0,2018-11-14 16:14:30,2127,2018-11-22 13:34:43
16717,3,63,11,40046,0,trans,3,3,493151,161687,331464,0,2018-11-14 17:10:50,812,2018-11-22 13:34:43
16724,3,63,11,40046,0,trans,3,3,551300,224983,326317,0,2018-11-14 17:32:42,1267,2018-11-22 17:22:03
16752,3,63,11,40046,0,trans,3,3,555730,272991,282739,0,2018-11-14 18:08:13,2166,2018-11-22 17:22:03
16799,3,63,11,40046,0,trans,3,3,585190,246676,338514,0,2018-11-14 18:48:01,1808,2018-11-22 17:22:03
17026,3,63,11,40046,0,trans,3,3,639290,130377,508913,0,2018-11-14 22:43:29,10094,2018-11-22 17:22:03
17296,3,49,11,40046,0,trans,3,3,553540,218071,335469,0,2018-11-15 14:47:10,1235,2018-11-20 16:37:43
17313,3,49,11,40046,0,trans,3,3,599070,197251,401819,0,2018-11-15 15:09:37,1147,2018-11-20 16:51:48
17334,3,63,11,40046,0,trans,3,3,720460,301903,418557,0,2018-11-15 15:28:58,1641,2018-11-22 17:22:03
17358,3,63,11,40046,0,trans,3,3,479899,307235,172664,0,2018-11-15 15:57:02,1738,2018-11-23 09:39:09
17378,3,63,11,40046,0,trans,3,3,551309,279921,271388,0,2018-11-15 16:28:17,1250,2018-11-23 09:39:09
17399,3,63,11,40046,0,trans,3,3,614110,209696,404414,0,2018-11-15 16:50:11,1090,2018-11-23 09:39:09
18367,3,49,11,40046,0,trans,3,3,582900,82961,499939,0,2018-11-16 23:32:42,331,2018-11-20 16:51:48
18371,3,49,11,40046,0,trans,3,3,571320,91824,479496,0,2018-11-16 23:38:30,387,2018-11-20 16:51:48
18379,3,49,11,40046,0,trans,3,3,547730,297650,250080,0,2018-11-16 23:45:10,1503,2018-11-20 16:51:48
